"Connector","Connector"
"General","General"
"Enable","Enable"
"Webhook URL","Webhook URL"
"Paste the Webhook URL shown in your dashboard.","Paste the Webhook URL shown in your dashboard."
"Webhook Secret","Webhook Secret"
"Paste the Webhook Secret shown once in your dashboard.","Paste the Webhook Secret shown once in your dashboard."
"EleAPIs","EleAPIs"
"Enter the Webhook URL and Webhook Secret, then set Enable = Yes.","Enter the Webhook URL and Webhook Secret, then set Enable = Yes."
"Your store is connected. Open your dashboard to set up your WhatsApp automations.","Your store is connected. Open your dashboard to set up your WhatsApp automations."
"Activation failed: %1","Activation failed: %1"
"Could not reach the server: %1","Could not reach the server: %1"
